forecast_horizon,granularity,snapshot_date,channel,campaign_type,campaign_name,total_revenue,total_spend,total_clicks,total_impressions,total_conversions,mean_daily_revenue,mean_daily_spend,std_daily_revenue,std_daily_spend,mean_roas,overall_roas,mean_cpc,mean_cvr,mean_budget_util,mean_daily_budget,total_budget,active_days,num_campaigns,revenue_trend,spend_trend,avg_month,avg_quarter,weekend_ratio,revenue_roll_7d_mean,revenue_roll_14d_mean,revenue_roll_30d_mean,revenue_roll_7d_std,revenue_roll_14d_std,revenue_roll_30d_std,spend_roll_7d_mean,spend_roll_14d_mean,spend_roll_30d_mean,spend_roll_7d_std,spend_roll_14d_std,spend_roll_30d_std,roas_roll_7d_mean,roas_roll_14d_mean,roas_roll_30d_mean,clicks_roll_7d_mean,clicks_roll_14d_mean,clicks_roll_30d_mean,revenue_momentum,spend_momentum
30,channel,2026-06-05,bing,ALL,ALL,6104.639999999999,3704.2100000000005,3292,201457,40.0,42.6897902097902,25.903566433566436,166.46060510755268,22.1577182179844,1.9903584477029173,1.6480275146387484,0.9482108542615387,0.0122160459305564,1.953423076923077,14.055944055944057,2010.0,30,5,-0.37300711601503156,-0.23208319810618344,5.153846153846154,2.0,0.25874125874125875,66.51,33.255,15.519,155.4423021574243,111.09815000536861,76.27394721071833,0.9842857142857142,0.7935714285714285,0.5003333333333333,1.4631912285920017,1.0784576390015879,0.7841687157191644,19.704817797334247,9.852408898667123,4.597790819377991,5.857142857142857,6.214285714285714,5.0,4.285714285714286,1.9672599219567908
30,channel,2026-06-05,google,ALL,ALL,293298.43772662,56321.734853,136319,10617575,2841.186133,476.9080288237724,91.58005667154472,942.2657745660508,107.32909375651666,5.744731227203392,5.2075533271858605,0.5649582932867436,0.019463705752877123,2.933351311212433,39.082926829268295,24036.0,29,29,-0.4988787013937728,-0.5504937417241667,5.180487804878049,2.0,0.2731707317073171,310.2850358,310.2850358,310.2850358,125.19320498023271,125.19320498023271,125.19320498023271,56.17,56.17,56.17,7.467047609329944,7.467047609329944,7.467047609329944,5.423813691525988,5.423813691525988,5.423813691525988,159.0,159.0,159.0,1.0,1.0
30,channel,2026-06-05,meta,ALL,ALL,43398.09,8234.220003,25654,692391,0.0,384.0538938053097,72.86920356637168,643.4831035250288,51.15407993596958,6.302359797010743,5.27045548748863,0.537165449680454,0.0,0.026898023613126838,2672.566371681416,302000.0,30,5,-0.6383511777839413,-0.4590125880594492,5.221238938053097,2.0,0.23893805309734514,154.51000000000002,185.41571428571433,603.1813333333334,206.62490500098696,193.73307921007907,1049.6400824116126,28.384286000000003,48.991428857142864,86.24966676666668,4.466855003451111,41.52203658523902,46.37892533579282,5.534252246880937,5.032844110583345,6.577192728206333,105.14285714285714,180.42857142857142,320.6,0.2561584576003678,0.3290944424955137
30,campaign_type,2026-06-05,bing,PERFORMANCE_MAX,ALL,855.35,1532.15,1478,180626,12.0,15.006140350877194,26.87982456140351,38.22701096057538,22.58978028186546,0.6484676049941759,0.5582677936233398,0.9005314700953937,0.008668441802879333,2.043552631578947,15.087719298245615,860.0,30,2,-0.6956554889671683,-0.00926407151395457,5.175438596491228,2.0,0.22807017543859648,0.0,11.372142857142856,9.378666666666668,0.0,24.50844852088967,27.481048232446003,25.19,32.683571428571426,25.063666666666666,13.528966454734562,25.62461635199274,23.45499645077243,0.0,0.9989812975525173,0.6534804472908374,22.0,27.142857142857142,21.9,0.0,1.0050404968679763
30,campaign_type,2026-06-05,bing,SEARCH,ALL,4783.72,2157.5400000000004,1671,13410,24.0,82.47793103448276,37.19896551724138,248.86210875621794,16.556750856103104,1.8918082750949907,2.2172103414073434,1.4136893465747649,0.013841265263886952,2.7828448275862065,15.0,870.0,29,2,-0.4550354774846349,-0.3662055021695177,5.137931034482759,2.0,0.27586206896551724,24.772857142857138,21.351428571428567,44.80266666666667,33.09612702129242,30.967692807217713,78.13664012852554,27.475714285714282,33.13,36.67533333333334,4.999069437214833,15.152245835062011,15.917865203716184,1.0857675964601532,0.7033974284230496,1.243776512590569,30.857142857142858,26.714285714285715,27.833333333333332,0.5529326485668369,0.7491605880168581
30,campaign_type,2026-06-05,bing,SHOPPING,ALL,465.57,14.519999999999998,143,7421,4.0,16.6275,0.5185714285714285,78.92745176215095,0.8077619482739732,4.926204449333562,32.06404958677686,0.08106700937950939,0.016071428571428573,0.05185714285714286,10.0,280.0,28,1,0.0,0.8866799204771367,5.142857142857143,2.0,0.2857142857142857,66.51,33.255,15.519,155.4423021574243,111.09815000536861,76.27394721071833,0.9842857142857142,0.7935714285714285,0.5003333333333333,1.4631912285920017,1.0784576390015879,0.7841687157191644,19.704817797334247,9.852408898667123,4.597790819377991,5.857142857142857,6.214285714285714,5.0,4.285714285714286,1.9672599219567908
30,campaign_type,2026-06-05,google,PERFORMANCE_MAX,ALL,117719.98125012,29879.677449999996,63966,5995338,1166.91265,317.3045316714825,80.53821415094339,433.39648560151113,96.53707514039058,6.151648419979279,3.939800938183154,0.4510724664323211,0.02013958483576967,3.207102901849386,26.22911051212938,9731.0,29,14,-0.48460452284291894,-0.6755298840601927,5.150943396226415,2.0,0.2749326145552561,219.07857142857145,219.07857142857145,219.07857142857145,410.0786341434437,410.0786341434437,410.0786341434437,72.80931100000001,72.80931100000001,72.80931100000001,37.47830445933039,37.47830445933039,37.47830445933039,2.193690520612269,2.193690520612269,2.193690520612269,227.57142857142858,227.57142857142858,227.57142857142858,1.0,1.0
30,campaign_type,2026-06-05,google,SEARCH,ALL,80291.09244616001,15884.937403000004,39052,228276,720.0595320000001,380.52650448417063,75.28406352132703,638.6477662209174,64.80876215352583,4.653378229000154,5.0545425776116915,0.8034685281953778,0.017223360954717548,2.5394546887835703,47.60663507109005,10045.0,29,12,-0.43296442191540524,-0.2815213479897376,5.222748815165877,2.0,0.27488151658767773,131.21847915999973,551.3474538657143,538.8380960956667,137.71323515191992,742.6373283556345,574.9413103781166,40.14197,68.74343771428572,101.30150869999999,23.2861041303801,56.528023972504926,57.028213012645764,3.916201047552228,7.438865619521239,5.571086966229283,92.57142857142857,160.07142857142858,188.96666666666667,0.2435211617567271,0.39626231154047964
30,campaign_type,2026-06-05,google,SHOPPING,ALL,95287.36403033999,10557.119999999999,33301,4393961,954.2139510000001,2887.4958797072723,319.91272727272724,2416.2637989472196,169.65302738738424,8.148040442386085,9.025886229420523,0.3202910871433793,0.02618981522737819,2.374270923520924,129.0909090909091,4260.0,29,3,-0.5663740335968361,-0.5030627523934843,5.242424242424242,2.0,0.24242424242424243,310.2850358,310.2850358,310.2850358,125.19320498023271,125.19320498023271,125.19320498023271,56.17,56.17,56.17,7.467047609329944,7.467047609329944,7.467047609329944,5.423813691525988,5.423813691525988,5.423813691525988,159.0,159.0,159.0,1.0,1.0
30,campaign_type,2026-06-05,meta,PROSPECTING,ALL,23482.26,5123.639998999999,14695,480071,0.0,398.004406779661,86.84135591525423,426.18326294532994,47.09051965184532,5.10915086542923,4.583120594847242,0.5627007144868234,0.0,0.02806362711440678,3237.2881355932204,191000.0,30,2,-0.5829765972263291,-0.5581994798455104,5.169491525423729,2.0,0.2542372881355932,143.53285714285644,212.285,489.5656666666667,234.45491035700408,195.76506271748582,499.6207216008898,37.762857000000004,60.62285714285714,90.0173333,6.2333744625584595,41.15303282551607,42.186316413713676,3.1738439831146996,3.8047243946692757,4.963984471069663,187.14285714285714,259.2142857142857,395.26666666666665,0.2931840750192649,0.41950650630971315
30,campaign_type,2026-06-05,meta,REMARKETING,ALL,19915.829999999998,3110.580004,10959,212320,0.0,368.8116666666666,57.603333407407405,822.0682897372393,51.46097835992095,7.606051037072027,6.4026097944401235,0.5092658085031242,0.0,0.0256244938617284,2055.5555555555557,111000.0,30,3,-0.6983270785049587,-0.2620807530670964,5.277777777777778,2.0,0.2222222222222222,154.51000000000002,185.41571428571433,603.1813333333334,206.62490500098696,193.73307921007907,1049.6400824116126,28.384286000000003,48.991428857142864,86.24966676666668,4.466855003451111,41.52203658523902,46.37892533579282,5.534252246880937,5.032844110583345,6.577192728206333,105.14285714285714,180.42857142857142,320.6,0.2561584576003678,0.3290944424955137
30,campaign,2026-06-05,bing,PERFORMANCE_MAX,Pmax_NTM_Campaign_01,573.99,797.5000000000001,842,104134,7.0,20.499642857142856,28.48214285714286,46.492589093407844,21.554778684249676,0.6199371452122466,0.7197366771159873,0.8783776206232011,0.006184321850855394,2.8482142857142856,10.0,280.0,28,1,-0.9243469135339755,-0.40237990304098725,5.178571428571429,2.0,0.21428571428571427,5.767142857142857,2.8835714285714285,19.133,15.258425775382502,10.789336336004508,45.161236822958145,16.10428571428571,17.19214285714286,28.526999999999997,9.180742266910116,14.367897538273555,20.843801882011658,0.21878387166702798,0.10939193583351399,0.5786080021980968,18.428571428571427,20.785714285714285,30.7,0.30142386751386907,0.5645278407924321
